['20200304-091758'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-1\\1209_1822_W57529--132203893782250000.vl'],['total=4260511744'],[' available=1465315328'],[' percent=65.6'],[' used=2795196416'],[' free=1465315328']
['20200304-091804'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-2\\1209_1825_W55949--132203895086640000.vl'],['total=4260511744'],[' available=1500930048'],[' percent=64.8'],[' used=2759581696'],[' free=1500930048']
['20200304-091810'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-2\\1209_1826_W55951--132203895756740000.vl'],['total=4260511744'],[' available=1496883200'],[' percent=64.9'],[' used=2763628544'],[' free=1496883200']
['20200304-091816'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-2\\1209_1827_W57531--132203896447660000.vl'],['total=4260511744'],[' available=1490161664'],[' percent=65.0'],[' used=2770350080'],[' free=1490161664']
['20200304-091822'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-2\\1209_1828_W57530--132203897195240000.vl'],['total=4260511744'],[' available=1497227264'],[' percent=64.9'],[' used=2763284480'],[' free=1497227264']
['20200304-091828'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-2\\1209_1830_W57533--132203898014620000.vl'],['total=4260511744'],[' available=1499226112'],[' percent=64.8'],[' used=2761285632'],[' free=1499226112']
['20200304-091834'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-3\\1209_1831_W57578--132203898967470000.vl'],['total=4260511744'],[' available=1530761216'],[' percent=64.1'],[' used=2729750528'],[' free=1530761216']
['20200304-091840'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-3\\1209_1833_W55955--132203899964790000.vl'],['total=4260511744'],[' available=1522094080'],[' percent=64.3'],[' used=2738417664'],[' free=1522094080']
['20200304-091846'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-3\\1209_1834_W57532--132203900490110000.vl'],['total=4260511744'],[' available=1496248320'],[' percent=64.9'],[' used=2764263424'],[' free=1496248320']
['20200304-091852'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-3\\1209_1835_W55965--132203901300660000.vl'],['total=4260511744'],[' available=1490825216'],[' percent=65.0'],[' used=2769686528'],[' free=1490825216']
['20200304-091858'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209ura-1\\1209_1821_W55944--132203892616860000.vl'],['total=4260511744'],[' available=1520873472'],[' percent=64.3'],[' used=2739638272'],[' free=1520873472']
['20200304-091904'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209ura-1\\1209_1822_W57527--132203893346940000.vl'],['total=4260511744'],[' available=1496539136'],[' percent=64.9'],[' used=2763972608'],[' free=1496539136']
['20200304-091910'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209ura-1\\1209_1824_W55945--132203894519520000.vl'],['total=4260511744'],[' available=1487540224'],[' percent=65.1'],[' used=2772971520'],[' free=1487540224']
['20200304-091916'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209ura-1\\1209_1825_W55946--132203895375060000.vl'],['total=4260511744'],[' available=1491460096'],[' percent=65.0'],[' used=2769051648'],[' free=1491460096']
['20200304-091922'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209ura-1\\1209_1826_W57529--132203896048830000.vl'],['total=4260511744'],[' available=1496809472'],[' percent=64.9'],[' used=2763702272'],[' free=1496809472']
['20200304-091928'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209ura-2\\1209_1828_W55949--132203897350360000.vl'],['total=4260511744'],[' available=1502973952'],[' percent=64.7'],[' used=2757537792'],[' free=1502973952']
['20200304-091934'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209ura-2\\1209_1830_W55951--132203898026290000.vl'],['total=4260511744'],[' available=1571180544'],[' percent=63.1'],[' used=2689331200'],[' free=1571180544']
